# List of additional categories for OSM objects.
# Format: type,id,key1=value1,key2=value2,...
# Example: way,34306743,olympics=stadium

# CIAN, from https://docs.google.com/spreadsheets/d/1-eL6vc107oKAZaZB9joJTqe3W_I8JYQWTZWc5RvB434/edit#gid=1154687572
way,152110798,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-vdohnovenie-rostov-na-donu-17335/,name=ЖК «Вдохновение»
way,320250997,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-na-temernickoy-rostov-na-donu-8179/,name=ЖК «на Темерницкой»
relation,2064500,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-moskovskiy-mikrorayon-novoe-17800/,name=ЖК «Московский»
way,475623680,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-veter-peremen-mikrorayon-novoe-poselenie-25424/,name=ЖК «Ветер перемен»
way,80777351,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-kamelot-rostovnadonu-8280/,name=ЖК «Камелот»
way,190959632,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-leninskie-gorki-rostov-na-donu-8260/,name=ЖК « Ленинские горки»
way,161924020,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-ordzhonikidze-posordzhonikidze-8282/,name=ЖК «Орджоникидзе»
way,148510016,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-tihiy-don-rostov-na-donu-8172/,name=ЖК «Тихий дон»
way,474064275,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-feniks-rostovnadonu-8181/,name=ЖК «Феникс»
relation,5658098,sponsored=cian,website=https://rostov.cian.ru/zhiloy-kompleks-mega-rostov-na-donu-8187/,name=ЖК «Мега»
way,192701984,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-pervomayskiy-ufa-11526/,name=ЖК «Первомайский»
relation,3122569,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-kvartal-respublika-ufa-11522/,name=ЖК «Квартал «Республика»»
way,333534009,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-na-uspenskoy-ufa-8427/,name=ЖК «на Успенской»
way,153740384,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-dom-u-ozera-ufa-8414/,name=ЖК «Дом у Озера»
way,95788605,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-arbat-ufa-19086/,name=ЖК «Арбат»
way,243706264,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-komsomolskiy-ufa-8525/,name=ЖК «Комсомольский»
way,243700779,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-tihaya-roshca-ufa-8431/,name=ЖК «Тихая роща»
way,232863646,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-ufimskiy-kreml-ufa-3917/,name=ЖК «Уфимский кремль»
way,103387920,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-dom-na-revolyucionnoy-ufa-3844/,name=ЖК «Дом на Революционной»
way,452816686,sponsored=cian,website=https://ufa.cian.ru/zhiloy-kompleks-dostoevskiy-ufa-8433/,name=ЖК «Достоевский»
way,83888151,sponsored=cian,website=https://kazan.cian.ru/zhiloy-kompleks-ostrova-sem-ostrovov-kazan-7806/,name=ЖК «Острова (Семь Островов)»
way,285062548,sponsored=cian,website=https://kazan.cian.ru/zhiloy-kompleks-stolichnyy-7838/,name=ЖК «Столичный»
way,143566318,sponsored=cian,website=https://kazan.cian.ru/zhiloy-kompleks-whale-house-dom-kit-kazan-7799/,name=ЖК «Whale House (Дом Кит)»
way,401747910,sponsored=cian,website=https://kazan.cian.ru/zhiloy-kompleks-sadovoe-kolco-kazan-13828/,name=ЖК «Садовое кольцо»
